,MSE,MAE,R2,crossVal
erreur_prediction_client,261146,354,0.5164367666642291,
erreur_regression_simple_test,249094,359,0.5387526788499188,[0.539 0.374 0.485 0.458 0.508]
erreur_regression_complete_test,232802,346,0.568920541044506,[0.584 0.447 0.483 0.465 0.512]
erreur_random_forest_test,155836,269,0.7114382399556098,[0.761 0.745 0.674 0.652 0.718]
erreur_gradient_boosting_test,165308,286,0.6938985507639196,[0.751 0.698 0.635 0.619 0.749]
erreur_SVM_test,175872,261,0.6743382580454897,[0.632 0.539 0.572 0.589 0.621]
erreur_random_forest_bruit_test,152538,279,0.7175457709974556,[0.637 0.555 0.522 0.595 0.522]
erreur_random_forest_decalage_test,141382,245,0.7382019976738934,[0.773 0.74  0.636 0.665 0.795]
xbg_bruit_test,178386,310,0.6696835139502892,[0.598 0.547 0.489 0.59  0.56 ]
