,time,y1,y2
140,2023-01-08,14.97,19.033950000000004
141,2023-01-09,26.86,29.644749999999966
142,2023-01-10,20.0,25.600749999999998
143,2023-01-11,48.0,29.0375
144,2023-01-12,16.7,14.185399999999982
145,2023-01-13,6.33,23.801500000000015
146,2023-01-14,49.63,30.965549999999997
147,2023-01-15,12.12,26.516699999999993
148,2023-01-16,61.0,29.3437
149,2023-01-17,31.15,19.0631
