,MSE,MAE,R2,crossVal
erreur_prediction_client,5630800.120320667,1809.6446,0.461050791781322,
erreur_régression_simple,3932755.0348987975,1557.522857313124,0.6235783251251297,[0.629 0.673 0.568 0.706 0.678]
erreur_régression_complète,3843562.671591056,1588.158268093757,0.6321153274261673,[0.629 0.705 0.601 0.709 0.685]
random_forest,1881948.0828644617,946.3482507215623,0.8198702835307358,[0.854 0.817 0.812 0.876 0.856]
gradien_boosting,2500020.409099096,1119.6156687010243,0.7607118009477911,[0.826 0.834 0.767 0.873 0.841]
SVM,2365994.109691112,1161.03543154224,0.7735400609468868,[0.734 0.781 0.638 0.791 0.794]
