,MSE,MAE,R2,crossVal
erreur_prediction_client,32407218.41331534,4088.9335333333333,0.8240799858541783,
erreur_régression_simple,29878225.628075752,4027.6476626258172,0.8378084225524427,[0.893 0.88  0.91  0.853 0.737]
erreur_régression_complète,27259064.747363616,3786.385394742941,0.852026329603538,[0.901 0.883 0.917 0.869 0.766]
random_forest,12309386.982635528,2502.67083709722,0.9331794693239732,[0.913 0.91  0.925 0.895 0.797]
gradien_boosting,15821031.680199051,2848.346297918422,0.9141167846778684,[0.899 0.906 0.935 0.885 0.8  ]
SVM,20704407.877073236,3257.159786566334,0.8876077644134047,[0.919 0.922 0.933 0.908 0.795]
