,MSE,MAE,R2,crossVal
erreur_prediction_client,94799,246,-0.15130345477176443,
erreur_regression_simple_test,77152,225,0.0630123957625659,[-0.008 -0.067  0.046  0.05   0.016]
erreur_regression_complete_test,75835,222,0.07900695751863862,[0.03  0.032 0.065 0.056 0.031]
erreur_random_forest_test,28231,122,0.657138319766295,[0.626 0.621 0.636 0.524 0.608]
erreur_gradient_boosting_test,30976,133,0.6238019011031098,[0.528 0.625 0.611 0.539 0.474]
erreur_SVM_test,44900,168,0.4546960579855799,[0.248 0.382 0.268 0.26  0.328]
erreur_random_forest_bruit_test,36846,151,0.5525157516737174,[0.418 0.435 0.54  0.399 0.404]
erreur_random_forest_decalage_test,27631,125,0.6644280012832804,[0.6   0.623 0.71  0.592 0.705]
xbg_bruit_test,38355,158,0.5341892817206089,[0.365 0.408 0.537 0.347 0.331]
