,MSE,MAE,R2,crossVal
erreur_prediction_client,312,14,-0.28991254304262704,
erreur_regression_simple_test,235,11,0.028352828083466508,[-0.017 -0.013  0.026 -0.018  0.005]
erreur_regression_complete_test,189,11,0.2154637967230758,[ 0.128  0.082  0.171  0.079 -0.01 ]
erreur_random_forest_test,96,6,0.600290609776384,[-0.262  0.289  0.539  0.409  0.164]
erreur_gradient_boosting_test,110,7,0.5436245691300314,[-0.33   0.272  0.526  0.421  0.158]
erreur_SVM_test,108,7,0.552447771439676,[0.366 0.214 0.359 0.497 0.139]
erreur_random_forest_bruit_test,322,11,-0.33176451787637795,[ 0.173 -0.07   0.094  0.199  0.07 ]
erreur_random_forest_decalage_test,98,7,0.5950200676683077,[0.148 0.261 0.465 0.527 0.195]
xbg_bruit_test,422,12,-0.7472157394765915,[ 0.166 -0.37   0.017  0.115  0.061]
