,MSE,MAE,R2,crossVal
erreur_prediction_client,2516514,616,0.710020348452726,
erreur_regression_simple_test,2383949,736,0.7252959081745998,[0.881 0.816 0.891 0.848 0.74 ]
erreur_regression_complete_test,2219848,702,0.7442053753295845,[0.887 0.813 0.894 0.85  0.742]
erreur_random_forest_test,784663,327,0.9095826776037413,[0.952 0.958 0.929 0.933 0.767]
erreur_gradient_boosting_test,949934,408,0.8905384134645586,[0.899 0.911 0.895 0.88  0.774]
erreur_SVM_test,1793805,462,0.7932985411130338,[0.918 0.856 0.927 0.871 0.769]
erreur_random_forest_bruit_test,1077031,453,0.8758929797067126,[0.924 0.862 0.892 0.88  0.764]
erreur_random_forest_decalage_test,930795,403,0.8927437921483437,[0.885 0.859 0.911 0.918 0.751]
xbg_bruit_test,1305196,576,0.8496013624178114,[0.88  0.896 0.833 0.891 0.78 ]
